Venusaur	3	160	198	200	11	3	215	214	116	90	47
Charizard	6	156	212	182	9	2	210	209	103	83	24
Blastoise	9	158	186	222	10	0	230	202	107	39	36
Butterfree	12	120	144	144	6	2	235	201	108	99	49
Beedrill	15	130	144	130	6	3	224	201	100	90	45
Pidgeot	18	166	170	166	18	2	239	210	122	121	45
Raticate	20	110	146	150	18	0	219	202	129	26	14
Fearow	22	130	168	146	18	2	239	211	80	46	45
Arbok	24	120	166	166	3	0	225	202	92	91	16
Raichu	26	120	200	154	12	0	206	205	123	78	77
Sandslash	28	150	150	172	4	0	228	216	95	63	31
Nidoqueen	31	180	184	190	3	4	224	202	91	32	31
Nidoking	34	162	204	170	3	4	224	200	91	31	22
Clefable	36	190	178	178	17	0	234	222	108	87	86
Ninetales	38	146	176	194	9	0	238	209	103	42	24
Wigglytuff	40	280	168	108	18	17	238	222	88	86	14
Golbat	42	150	164	164	3	2	210	202	121	69	50
Vileplume	45	150	202	190	11	3	225	215	116	87	47
Parasect	47	120	162	170	11	6	201	200	116	100	89
Venomoth	49	140	172	154	6	3	235	201	108	50	49
Dugtrio	51	70	148	140	4	0	233	203	96	32	31
Persian	53	130	156	146	18	0	238	220	88	65	51
Golduck	55	160	194	176	10	0	235	230	108	107	39
Primeape	57	130	178	150	1	0	208	207	56	51	28
Arcanine	59	180	230	180	9	0	240	202	103	95	24
Poliwrath	62	180	180	202	10	1	237	216	107	54	33
Alakazam	65	110	186	152	13	0	235	226	108	86	70
Machamp	68	180	198	180	1	0	229	208	54	32	28
Victreebel	71	160	222	152	11	3	225	215	117	116	90
Tentacruel	73	160	170	196	10	3	225	224	107	91	40
Golem	76	160	176	198	4	5	227	233	62	32	31
Rapidash	78	130	200	170	9	0	209	207	103	46	42
Slowbro	80	190	184	198	10	13	235	230	108	105	39
Magneton	82	100	186	180	12	8	206	205	72	36	35
Farfetch'd	83	104	138	132	18	2	223	200	121	117	45
Dodrio	85	120	182	150	18	2	239	238	121	45	38
Dewgong	87	180	156	192	10	14	218	217	111	57	40
Muk	89	210	180	188	3	0	212	224	92	91	16
Cloyster	91	100	196	196	10	14	218	217	111	107	40
Gengar	94	120	204	156	7	3	213	203	90	70	16
Onix	95	70	90	186	4	5	227	221	74	64	32
Hypno	97	170	162	196	13	0	235	234	108	70	60
Kingler	99	110	178	168	10	0	228	216	105	100	20
Electrode	101	120	150	174	12	0	221	206	79	35	14
Exeggutor	103	190	232	164	11	13	235	234	116	108	59
Marowak	105	120	140	202	4	0	241	233	94	31	26
Hitmonlee	106	100	148	172	1	0	241	207	123	56	32
Hitmonchan	107	100	138	204	1	0	241	229	123	77	33
Lickitung	108	180	126	160	18	0	234	212	127	118	14
Weezing	110	130	190	198	3	0	0	221	90	70	16
Rhydon	112	210	166	160	4	5	241	233	32	31	22
Chansey	113	500	40	60	18	0	234	222	108	86	14
Tangela	114	130	164	152	11	0	0	214	118	116	90
Kangaskhan	115	210	142	178	18	0	233	207	127	123	31
Seadra	117	110	176	150	10	0	230	204	107	82	40
Seaking	119	160	172	160	10	0	224	211	111	46	22
Starmie	121	120	194	192	10	0	230	221	107	65	108
Mr. Mime	122	80	154	196	13	0	235	234	108	70	30
Scyther	123	140	176	180	6	2	239	200	100	51	49
Jynx	124	130	172	134	13	14	222	218	85	60	33
Electabuzz	125	130	198	160	12	0	207	205	79	78	77
Magmar	126	130	214	158	9	0	209	208	115	103	24
Pinsir	127	130	184	186	6	0	241	200	100	54	20
Tauros	128	150	148	184	18	0	234	221	126	74	31
Gyarados	130	190	192	196	10	2	0	202	107	82	80
Lapras	131	260	186	190	10	14	218	217	82	40	39
Vaporeon	134	260	186	168	10	0	0	230	107	105	58
Jolteon	135	130	192	174	12	0	0	205	79	78	35
Flareon	136	130	238	178	9	0	0	209	103	42	24
Porygon	137	130	156	158	18	0	221	234	99	35	30
Omastar	139	140	180	202	5	10	230	216	107	64	62
Kabutops	141	120	190	190	5	10	216	200	105	62	32
Aerodactyl	142	160	182	162	5	2	239	202	74	62	14
Snorlax	143	320	180	180	18	0	234	212	131	31	14
Dragonite	149	182	250	212	15	2	239	204	83	82	14
